period,quarter,source,target,value,signed,neg
2013-04-28,FY2014 Q1,Revenue,Gross Profit,518568000,518568000,False
2013-04-28,FY2014 Q1,Revenue,Cost of Revenue,436171000,436171000,False
2013-04-28,FY2014 Q1,Gross Profit,Operating Income,82781000,82781000,False
2013-04-28,FY2014 Q1,Gross Profit,Operating Expenses,435787000,435787000,False
2013-04-28,FY2014 Q1,Operating Income,Net Income,77891000,77891000,False
2013-04-28,FY2014 Q1,Operating Income,Tax & Other,4890000,4890000,False
2013-07-28,FY2014 Q2,Revenue,Gross Profit,545538000,545538000,False
2013-07-28,FY2014 Q2,Revenue,Cost of Revenue,431700000,431700000,False
2013-07-28,FY2014 Q2,Gross Profit,Operating Income,105534000,105534000,False
2013-07-28,FY2014 Q2,Gross Profit,Operating Expenses,440004000,440004000,False
2013-07-28,FY2014 Q2,Operating Income,Net Income,96448000,96448000,False
2013-07-28,FY2014 Q2,Operating Income,Tax & Other,9086000,9086000,False
2013-10-27,FY2014 Q3,Revenue,Gross Profit,584415000,584415000,False
2013-10-27,FY2014 Q3,Revenue,Cost of Revenue,469552000,469552000,False
2013-10-27,FY2014 Q3,Gross Profit,Operating Income,140988000,140988000,False
2013-10-27,FY2014 Q3,Gross Profit,Operating Expenses,443427000,443427000,False
2013-10-27,FY2014 Q3,Operating Income,Net Income,118734000,118734000,False
2013-10-27,FY2014 Q3,Operating Income,Tax & Other,22254000,22254000,False
2014-01-26,FY2014 Q4,Revenue,Gross Profit,619242000,619242000,False
2014-01-26,FY2014 Q4,Revenue,Cost of Revenue,524976000,524976000,False
2014-01-26,FY2014 Q4,Gross Profit,Operating Income,166697000,166697000,False
2014-01-26,FY2014 Q4,Gross Profit,Operating Expenses,452545000,452545000,False
2014-01-26,FY2014 Q4,Operating Income,Net Income,146917000,146917000,False
2014-01-26,FY2014 Q4,Operating Income,Tax & Other,19780000,19780000,False
2014-04-27,FY2015 Q1,Revenue,Gross Profit,604000000,604000000,False
2014-04-27,FY2015 Q1,Revenue,Cost of Revenue,499000000,499000000,False
2014-04-27,FY2015 Q1,Gross Profit,Operating Income,151000000,151000000,False
2014-04-27,FY2015 Q1,Gross Profit,Operating Expenses,453000000,453000000,False
2014-04-27,FY2015 Q1,Operating Income,Net Income,137000000,137000000,False
2014-04-27,FY2015 Q1,Operating Income,Tax & Other,14000000,14000000,False
2014-07-27,FY2015 Q2,Revenue,Gross Profit,619000000,619000000,False
2014-07-27,FY2015 Q2,Revenue,Cost of Revenue,484000000,484000000,False
2014-07-27,FY2015 Q2,Gross Profit,Operating Income,163000000,163000000,False
2014-07-27,FY2015 Q2,Gross Profit,Operating Expenses,456000000,456000000,False
2014-07-27,FY2015 Q2,Operating Income,Net Income,128000000,128000000,False
2014-07-27,FY2015 Q2,Operating Income,Tax & Other,35000000,35000000,False
2014-10-26,FY2015 Q3,Revenue,Gross Profit,677000000,677000000,False
2014-10-26,FY2015 Q3,Revenue,Cost of Revenue,548000000,548000000,False
2014-10-26,FY2015 Q3,Gross Profit,Operating Income,213000000,213000000,False
2014-10-26,FY2015 Q3,Gross Profit,Operating Expenses,464000000,464000000,False
2014-10-26,FY2015 Q3,Operating Income,Net Income,173000000,173000000,False
2014-10-26,FY2015 Q3,Operating Income,Tax & Other,40000000,40000000,False
2015-01-25,FY2015 Q4,Revenue,Gross Profit,699000000,699000000,False
2015-01-25,FY2015 Q4,Revenue,Cost of Revenue,552000000,552000000,False
2015-01-25,FY2015 Q4,Gross Profit,Operating Income,231000000,231000000,False
2015-01-25,FY2015 Q4,Gross Profit,Operating Expenses,468000000,468000000,False
2015-01-25,FY2015 Q4,Operating Income,Net Income,193000000,193000000,False
